order_id,cost,kiosk_number,date_ordered
1,5.18,2,04/01/2022
2,21.92,1,04/01/2022
3,11.47,4,04/01/2022
4,9.25,1,04/01/2022
5,8.28,3,04/01/2022
6,17.12,3,04/01/2022
7,2.39,3,04/01/2022
8,16.83,1,04/01/2022
9,6.15,1,04/01/2022
10,9.54,1,04/01/2022
11,13.62,4,04/01/2022
12,8.44,4,04/01/2022
13,12.0,1,04/01/2022
14,12.03,3,04/01/2022
15,17.52,1,04/01/2022
16,16.52,2,04/01/2022
17,4.19,4,04/01/2022
18,8.48,3,04/01/2022
19,4.19,1,04/01/2022
20,20.42,4,04/01/2022
21,19.48,3,04/01/2022
22,19.56,1,04/01/2022
23,11.57,2,04/01/2022
24,9.28,2,04/01/2022
25,18.18,1,04/01/2022
26,4.18,2,04/01/2022
27,15.48,4,04/01/2022
28,16.72,3,04/01/2022
29,9.38,3,04/01/2022
30,13.24,4,04/01/2022
31,14.97,2,04/01/2022
32,15.82,4,04/01/2022
33,14.03,2,04/01/2022
34,1.99,3,04/01/2022
35,22.73,2,04/01/2022
36,12.07,3,04/01/2022
37,20.07,3,04/01/2022
38,8.57,3,04/01/2022
39,18.16,2,04/01/2022
40,6.04,2,04/01/2022
41,13.29,1,04/01/2022
42,18.72,3,04/01/2022
43,20.1,4,04/01/2022
44,14.03,4,04/01/2022
45,16.43,4,04/01/2022
46,15.07,1,04/01/2022
47,9.45,4,04/01/2022
48,9.07,1,04/01/2022
49,7.98,1,04/01/2022
50,5.48,1,04/01/2022
51,4.19,1,04/01/2022
52,12.46,4,04/01/2022
53,19.84,2,04/01/2022
54,16.25,4,04/01/2022
55,11.88,1,04/01/2022
56,15.32,4,04/01/2022
57,11.03,3,04/01/2022
58,8.37,2,04/01/2022
59,11.17,4,04/01/2022
60,4.09,3,04/01/2022
61,7.38,2,04/01/2022
62,9.45,4,04/01/2022
63,11.64,1,04/01/2022
64,7.44,3,04/01/2022
65,5.28,2,04/01/2022
66,16.63,3,04/01/2022
67,16.89,3,04/01/2022
68,11.88,4,04/01/2022
69,9.38,2,04/01/2022
70,12.33,3,04/01/2022
71,21.31,1,04/01/2022
72,10.14,2,04/01/2022
73,17.06,2,04/01/2022
74,3.79,2,04/01/2022
75,18.16,2,04/01/2022
76,21.61,3,04/01/2022
77,12.05,4,04/01/2022
78,5.59,4,04/01/2022
79,16.32,1,04/01/2022
80,11.17,3,04/01/2022
81,21.62,2,04/01/2022
82,17.83,1,04/01/2022
83,14.52,4,04/01/2022
84,2.19,1,04/01/2022
85,16.18,1,04/01/2022
86,29.03,4,04/01/2022
87,5.87,1,04/01/2022
88,17.51,1,04/01/2022
89,6.18,1,04/01/2022
90,6.48,3,04/01/2022
91,11.66,2,04/01/2022
92,6.98,1,04/01/2022
93,16.93,3,04/01/2022
94,7.47,4,04/01/2022
95,25.18,2,04/01/2022
96,4.18,4,04/01/2022
97,12.24,1,04/01/2022
98,7.64,2,04/01/2022
99,13.33,1,04/01/2022
100,5.27,3,04/01/2022
101,6.68,1,04/01/2022
102,16.01,4,04/01/2022
103,15.77,1,04/01/2022
104,5.18,3,04/01/2022
105,17.23,1,04/01/2022
106,5.78,1,04/01/2022
107,24.87,1,04/01/2022
108,12.34,1,04/01/2022
109,15.93,4,04/01/2022
110,8.93,2,04/01/2022
111,14.25,3,04/01/2022
112,15.93,2,04/01/2022
113,9.87,1,04/01/2022
114,11.83,1,04/01/2022
115,15.09,1,04/01/2022
116,6.58,2,04/01/2022
117,13.29,3,04/01/2022
118,15.73,4,04/01/2022
119,11.07,1,04/01/2022
120,26.49,2,04/01/2022
121,14.36,2,04/01/2022
122,9.37,3,04/01/2022
123,12.96,1,04/01/2022
124,9.18,2,04/01/2022
125,19.37,4,04/01/2022
126,22.62,1,04/01/2022
127,12.57,1,04/01/2022
128,6.77,2,04/01/2022
129,18.27,4,04/01/2022
130,11.07,1,04/01/2022
131,13.46,2,04/01/2022
132,26.97,2,04/01/2022
133,15.93,1,04/01/2022
134,17.95,1,04/01/2022
135,12.56,3,04/01/2022
136,9.27,4,04/01/2022
137,8.77,1,04/01/2022
138,6.29,1,04/01/2022
139,12.53,3,04/01/2022
140,9.97,2,04/01/2022
141,24.88,4,04/01/2022
142,7.17,1,04/01/2022
143,14.0,2,04/01/2022
144,15.61,1,04/01/2022
145,13.93,4,04/01/2022
146,13.24,1,04/01/2022
147,9.04,2,04/01/2022
148,14.27,2,04/01/2022
149,9.37,1,04/01/2022
150,22.38,1,04/01/2022
151,11.77,2,04/01/2022
152,18.98,4,04/01/2022
153,11.88,2,04/01/2022
154,19.21,2,04/01/2022
155,24.21,3,04/01/2022
156,25.34,4,04/01/2022
157,20.75,2,04/01/2022
158,19.67,1,04/01/2022
159,11.53,1,04/01/2022
160,22.31,4,04/01/2022
161,9.74,3,04/01/2022
162,16.82,4,04/01/2022
163,2.39,3,04/01/2022
164,12.46,3,04/01/2022
165,17.73,4,04/01/2022
166,9.25,2,04/01/2022
167,12.45,2,04/01/2022
168,12.73,1,04/01/2022
169,9.17,1,04/01/2022
170,4.55,4,04/01/2022
171,9.08,3,04/01/2022
172,9.25,1,04/01/2022
173,6.18,2,04/01/2022
174,25.97,4,04/01/2022
175,17.52,1,04/01/2022
176,18.28,1,04/01/2022
177,13.97,3,04/01/2022
178,6.18,1,04/01/2022
179,11.62,4,04/01/2022
180,24.36,1,04/01/2022
181,16.02,1,04/01/2022
182,6.48,1,04/01/2022
183,19.12,1,04/01/2022
184,2.69,4,04/01/2022
185,7.57,2,04/01/2022
186,15.53,3,04/01/2022
187,10.23,2,04/01/2022
188,16.03,4,04/01/2022
189,10.27,3,04/01/2022
190,11.83,4,04/01/2022
191,7.04,2,04/01/2022
192,7.98,1,04/01/2022
193,9.36,1,04/01/2022
194,12.19,1,04/01/2022
195,15.73,2,04/01/2022
196,13.97,1,04/01/2022
197,22.04,2,04/01/2022
198,5.88,2,04/01/2022
199,7.88,4,04/01/2022
200,18.43,2,04/01/2022
201,10.07,2,04/01/2022
